DATE,TIME,Temp,Turb,Stage,TRYPppb,TRYPTempCorr,Colicol100mL,CablePower
7/24/20,15:20:45,22.39,8.94,0.886,20.88,23.03,1020.06,4.72
7/24/20,15:20:50,22.4,9.93,0.914,21.3,23.5,1041.18,4.69
7/24/20,15:20:55,22.4,8.07,1.029,24.82,27.39,1213.28,4.72
7/24/20,15:21:00,22.36,9.33,1.132,21.76,23.97,1061.98,4.69
7/24/20,15:21:06,22.35,7.92,1.161,23.32,25.68,1137.51,4.79
7/24/20,15:21:11,22.36,9.68,1.16,22.86,25.18,1115.45,4.75
7/24/20,15:21:16,22.37,7.63,1.177,24.33,26.81,1187.73,4.77
7/24/20,15:21:21,22.36,8.25,1.113,23.81,26.24,1162.19,4.67
7/24/20,15:21:26,22.35,8.57,1.147,23.26,25.61,1134.57,4.8
7/24/20,15:21:31,22.36,8.14,1.146,21.96,24.2,1072.06,4.75
7/24/20,15:21:36,22.34,8.26,1.143,21.88,24.08,1066.83,4.7
7/24/20,15:21:41,22.37,7.02,1.146,20.82,22.95,1016.69,4.75
7/24/20,15:21:46,22.35,6.45,1.163,23.07,25.41,1125.53,4.7
7/24/20,15:21:51,22.34,12.14,1.16,23.95,26.36,1167.78,4.77
7/24/20,15:21:56,22.34,6.8,1.163,22.84,25.15,1114.01,4.64
7/24/20,15:22:01,22.33,7.22,1.145,19.86,21.85,967.84,4.62
7/24/20,15:22:06,22.33,8.7,1.146,22.91,25.2,1116.51,4.72
7/24/20,15:22:11,22.33,7.31,1.062,22.3,24.53,1086.71,4.79
7/24/20,15:22:16,22.34,8.08,1.083,23.71,26.1,1156.28,4.77
7/24/20,15:22:21,22.34,9.63,1.063,21.83,24.03,1064.38,4.74
7/24/20,15:22:26,22.34,7.96,1.094,21.39,23.54,1042.97,4.64
7/24/20,15:22:31,22.34,7.64,1.113,20.58,22.65,1003.18,4.8
7/24/20,15:22:36,22.33,6.94,1.124,21.68,23.86,1056.86,4.77
7/24/20,15:22:41,22.33,8.27,1.11,21.81,24,1063.11,4.75
7/24/20,15:22:46,22.33,6.89,1.104,22.43,24.68,1093.47,4.69
7/24/20,15:22:51,22.33,9.33,1.139,25.46,28.02,1241.19,4.75
7/24/20,15:22:56,22.34,11.46,1.084,24.56,27.03,1197.54,4.74
7/24/20,15:23:01,22.35,7.39,1.063,24.91,27.44,1215.31,4.77
